Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgDailyWorkHours,StdDailyWorkHours,MedianDailyWorkHours,TotalPresent,TotalAbsent,TotalShortDays,TotalLongDays,TotalOvertimeHours,AvgArrivalHour,StdArrivalHour,AvgDepartureHour,StdDepartureHour,AbsenceRate,AvgOvertimeHoursPerDay,ShortDayRate,LongDayRate,EngagementTrend,TrendCategory,TenureGroup,AgeGroup,IncomeQuartile,PromotionStagnation,SatisfactionScore,CareerProgressionRatio,AttritionFlag
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,7.373650622605364,0.28322436713023436,7.397222222222222,232,17,22,0,0.0,9.993031609195402,0.258455945313723,17.367169540229884,0.37379080144282584,6.83,0.0,9.48,0.0,0.0022,Stable,1-3 years,50+,Q4 (High),0,3.0,1.0,0
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,7.718968926553672,0.313350907412726,7.71875,236,13,3,0,6.522777777777778,9.98072033898305,0.2930946787712894,17.698446327683616,0.4188100179670694,5.22,0.03,1.27,0.0,0.0121,Stable,5-10 years,30-34,Q2,0,3.0,0.83,1
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,7.013240358126722,0.3115511391897781,6.982638888888889,242,7,125,0,0.0,10.016597796143252,0.27251326704281426,17.030096418732786,0.3951904722245373,2.81,0.0,51.65,0.0,0.0018,Stable,5-10 years,30-34,Q4 (High),0,1.67,1.0,0
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,7.193678486997636,0.28413283284487706,7.179722222222222,235,14,61,0,0.0,9.973829787234042,0.28274950635579627,17.167304964539007,0.4071048957613205,5.62,0.0,25.96,0.0,0.0082,Stable,5-10 years,35-39,Q3,1,3.67,0.62,0
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,8.006174603174603,0.3006564200435073,7.963611111111111,245,4,0,0,31.053333333333327,9.990068027210883,0.2708622219110946,17.996326530612247,0.4057449718652966,1.61,0.13,0.0,0.0,0.0052,Stable,5-10 years,30-34,Q1 (Low),0,2.67,0.67,0
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,10.796095874355368,0.3062780195272168,10.809444444444445,237,12,0,237,662.6747222222223,9.980450070323489,0.27780818208297176,20.77651195499297,0.43336497545553493,4.82,2.8,0.0,100.0,-0.0107,Stable,5-10 years,45-49,Q2,1,2.33,0.25,0
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,6.923570402298851,0.32461158973280657,6.9087499999999995,232,17,141,0,0.09222222222222243,9.956249999999999,0.28512162708542865,16.879310344827587,0.4318691028867006,6.83,0.0,60.78,0.0,-0.0059,Stable,< 1 year,25-29,Q3,0,1.67,0.0,1
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,6.725620713305898,0.27854805942660005,6.746111111111111,243,6,200,0,0.0,9.994101508916323,0.2743461292827782,16.719615912208507,0.3869356890245304,2.41,0.0,82.3,0.0,0.0043,Stable,< 1 year,25-29,Q2,0,2.0,0.0,0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,7.236498792270532,0.31069952510621124,7.258333333333333,230,19,52,0,0.029166666666666785,10.013840579710145,0.2635286318994815,17.25072463768116,0.38729138977471944,7.63,0.0,22.61,0.0,-0.005,Stable,5-10 years,30-34,Q1 (Low),1,3.0,0.9,0
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,7.080087844254511,0.2904905463580698,7.063611111111111,234,15,101,0,0.0,9.956837606837608,0.27367101028437557,17.036467236467235,0.42364222013581365,6.02,0.0,43.16,0.0,-0.0138,Stable,5-10 years,25-29,Q4 (High),0,2.0,1.0,0
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,8.403485477178423,0.3083233939115998,8.416944444444445,241,8,0,6,101.07722222222223,9.985961272475796,0.2866109609529514,18.389488243430154,0.413202450127976,3.21,0.42,0.0,2.49,-0.0021,Stable,10+ years,45-49,Q3,0,3.33,0.95,0
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3,7.06895458736745,0.30973383319804865,7.029166666666667,241,8,108,0,0.0,9.989557399723374,0.2744025286567353,17.058367911479944,0.4102086316553506,3.21,0.0,44.81,0.0,0.0014,Stable,10+ years,35-39,Q2,1,3.33,0.94,0
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,9.301409509946627,0.28886323837076816,9.33,229,20,0,191,298.0227777777778,10.010625909752548,0.2607506151897668,19.312227074235807,0.3840901997506213,8.03,1.3,0.0,83.41,0.0088,Stable,10+ years,50+,Q3,0,2.67,0.97,0
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,9.399931442080378,0.2922665278568034,9.38888888888889,235,14,0,217,328.9838888888889,9.996099290780142,0.28415359658552003,19.395248226950354,0.3909073045379745,5.62,1.4,0.0,92.34,-0.0071,Stable,10+ years,45-49,Q3,1,1.67,1.0,1
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,6.089687644075611,0.28975386569140865,6.095,241,8,240,0,0.0,10.00076071922545,0.28262676999403014,16.08969571230982,0.38609644206954524,3.21,0.0,99.59,0.0,0.0088,Stable,5-10 years,25-29,Q1 (Low),0,3.33,1.0,0
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.705174636661979,0.3172596432739161,6.706388888888889,237,12,192,0,0.0,9.999226441631505,0.26988368809221164,16.704289732770746,0.4182052097138459,4.82,0.0,81.01,0.0,0.0009,Stable,5-10 years,35-39,Q3,0,3.67,0.71,0
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.619040626529613,0.3139625364259775,6.611666666666666,227,22,200,0,0.0,10.030543318649046,0.2648111114315451,16.650440528634363,0.41234311609444285,8.84,0.0,88.11,0.0,-0.0035,Stable,3-5 years,18-24,Q2,0,3.67,1.0,0
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.014328139114726,0.3096964342975209,11.01972222222222,246,3,0,246,741.5247222222222,9.999661246612465,0.269552619977046,21.014566395663955,0.4109458884549416,1.2,3.01,0.0,100.0,0.0026,Stable,5-10 years,35-39,Q2,0,2.67,0.33,0
